BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr256,63.8074074,42.3753086,35.1654321,11.9277778,19.5714286,4.27320675,0,0.08823203,0.05804882,30500000,2.21E+08,4686905.5,6465749.5,10,30,14
bcr257,131.904762,111,37.2081575,56.031746,41.9876543,16.3924051,8.74703487,0.24937499,0.330491496,26800000,1.81E+08,4932805,4764800,20,25,13
bcr258,166.122723,82.2345679,30.2461322,70.2592593,25.0793651,16.2517581,12.4490994,0.19426175,0.014323335,3.30E+07,1.91E+08,6744008.5,4270244,20,23,11
bcr265,719.336574,101.37037,47.9676512,4.92777778,10.8809524,3.26054852,42.1021099,0.67530657,0.033073852,23100000,1.69E+08,4875515.5,7932687.5,20,22,14
bcr270,105.938272,68.015873,39.5991561,27.0634921,14.7037037,11.3291139,5.09810189,0.15986016,0.070966596,57100000,1.90E+08,4579734.5,2317538.8,20,27,14
bcr273,284.94932,166.432099,68.8095238,80.6349206,47.9135803,24.3389592,16.5302092,0.1220305,1.174601526,40800000,3.08E+08,4927102,3880750,20,27,16
bcr276,248.408431,63.2222222,9.68253968,21.3095238,10.7530864,11.6807314,0.70115283,0.07179291,0.549256715,37200000,2.10E+08,5910807,4541042.5,20,26,15
bcr283,4.89732771,1.0588061,0.63,22.4285714,9.92777778,5.08544304,4.52694525,0.16266959,0.010527203,48800000,2.16E+08,5605376.5,3525145,20,27,15
bcr288,202.714286,195.414815,56.7974684,61.0444444,25.5959574,13.2619048,8.24511642,0.05080388,0.082223123,43600000,3.00E+08,4731671.5,1575246.5,30,19,14
bcr290,457.714286,352.415035,100.257384,35.4888889,7.90476191,8.01422273,0,0.13574229,0.436338914,55200000,3.35E+08,4514438,6710041,40,27,17
bcr291,57.8623654,31.4617284,19.0745429,19.452381,4.90925926,5.06434599,15.7139025,0.47115628,0.021465205,66500000,3.99E+08,3727545,6756811,50,20,16
bcr293,238.58612,277,51.2278481,67.7111111,15.7619048,17.2616034,18.3646089,0.15987982,0.178462719,50500000,2.43E+08,4931031.5,7280103.5,40,20,14
bcr294,63.1654321,72.1269841,26.0787623,11.187037,18.1428571,4.86392405,1.67110648,0.21921024,0.146733873,48800000,2.58E+08,4551857,5182827,20,23,15
bcr298,178.896296,418.190476,82.5780591,35.1925926,8.14285714,8.56962025,0,0.11418501,0.757536649,48700000,2.84E+08,1204480.4,6189721,30,29,18
bcr305,16.1851852,16,14.2827004,46.4761905,7.16851852,4.27320675,4.60334938,0.43943333,0.016107955,19900000,1.73E+08,2425385,1272848.9,20,26,14
bcr311,100.378338,65.3209877,21.1744023,18.1428571,9.18703704,3.53481013,2.29200379,0.2140446,0.010905457,30100000,1.62E+08,1958429.4,3350787.8,20,22,14
